Offset-Description       Player:                       Enemy 1:                      Enemy: 2
0EF8 - 4 Bytes           E56D358 : 3                   FDD5008 : 826343700           FD4A8E8 : 0                   
0EFC - 4 Bytes (Hex)     E56D35C : 00000000            FDD500C : 82011450            FD4A8EC : 00000000            
0F00 - 4 Bytes           E56D360 : 229403456           FDD5010 : 742425632           FD4A8F0 : 0                   
0F04 - Unicode String    E56D364 :                     FDD5014 :                     FD4A8F4 :                     
0F09 - Byte              E56D369 : 214                 FDD5019 : 136                 FD4A8F9 : 0                   
0F0A - Byte              E56D36A : 86                  FDD501A : 82                  FD4A8FA : 0                   
0F0B - Byte              E56D36B : 14                  FDD501B : 74                  FD4A8FB : 0                   
0F0C - 4 Bytes           E56D36C : 0                   FDD501C : 22102337            FD4A8FC : 0                   
0F10 - Pointer           E56D370 : P->0E56D290         FDD5020 : P->13560858         FD4A900 : P->00000000         
0F18 - 4 Bytes           E56D378 : 240572112           FDD5028 : 1                   FD4A908 : 1065353216          
0F1C - 4 Bytes (Hex)     E56D37C : 00000000            FDD502C : 00040000            FD4A90C : 00000000            
0F20 - 4 Bytes           E56D380 : 3842048256          FDD5030 : 0                   FD4A910 : 0                   
0F24 - Unicode String    E56D384 : ï¼€               FDD5034 :                     FD4A914 :                     
0F2D - Byte              E56D38D : 0                   FDD503D : 0                   FD4A91D : 0                   
0F2E - Byte              E56D38E : 0                   FDD503E : 0                   FD4A91E : 128                 
0F2F - Byte              E56D38F : 0                   FDD503F : 0                   FD4A91F : 63                  
0F30 - Pointer           E56D390 : P->00000000         FDD5040 : P->00000000         FD4A920 : P->00000000         
0F38 - 4 Bytes           E56D398 : 0                   FDD5048 : 0                   FD4A928 : 0                   
0F3C - 4 Bytes           E56D39C : 0                   FDD504C : 0                   FD4A92C : 0                   
0F40 - Pointer           E56D3A0 : P->00010001         FDD5050 : P->00000000         FD4A930 : P->00000000         
0F48 - 4 Bytes           E56D3A8 : 240545328           FDD5058 : 0                   FD4A938 : 0                   
0F4C - 4 Bytes (Hex)     E56D3AC : 00000000            FDD505C : 00000000            FD4A93C : 00000000            
0F50 - 4 Bytes           E56D3B0 : 240557072           FDD5060 : 0                   FD4A940 : 0                   
0F54 - Unicode String    E56D3B4 :                     FDD5064 :                     FD4A944 :                     
0F5D - Byte              E56D3BD : 0                   FDD506D : 0                   FD4A94D : 0                   
0F5E - Byte              E56D3BE : 0                   FDD506E : 0                   FD4A94E : 0                   
0F5F - Byte              E56D3BF : 0                   FDD506F : 0                   FD4A94F : 0                   
0F60 - Pointer           E56D3C0 : P->0E56C300         FDD5070 : P->00000000         FD4A950 : P->0FD4A970         
0F68 - 4 Bytes           E56D3C8 : 240567136           FDD5078 : 0                   FD4A958 : 0                   
0F6C - 4 Bytes           E56D3CC : 0                   FDD507C : 0                   FD4A95C : 0                   
0F70 - Pointer           E56D3D0 : P->0E56C3C0         FDD5080 : P->00000000         FD4A960 : P->00000006         
0F78 - 4 Bytes           E56D3D8 : 674118544           FDD5088 : 0                   FD4A968 : 545259520           
0F7C - 4 Bytes (Hex)     E56D3DC : 00000000            FDD508C : 00000000            FD4A96C : 30000000            
0F80 - 4 Bytes           E56D3E0 : 4                   FDD5090 : 0                   FD4A970 : 325147264           
0F84 - Unicode String    E56D3E4 :                     FDD5094 :                     FD4A974 :                     
0F8F - Byte              E56D3EF : 48                  FDD509F : 0                   FD4A97F : 0                   
0F90 - Unicode String    E56D3F0 : ïŒá              FDD50A0 :                     FD4A980 :                     
0F95 - Byte              E56D3F5 : 0                   FDD50A5 : 0                   FD4A985 : 0                   
0F96 - Byte              E56D3F6 : 0                   FDD50A6 : 0                   FD4A986 : 0                   
0F97 - Byte              E56D3F7 : 0                   FDD50A7 : 0                   FD4A987 : 0                   
0F98 - 4 Bytes           E56D3F8 : 1                   FDD50A8 : 0                   FD4A988 : 0                   
0F9C - 4 Bytes           E56D3FC : 0                   FDD50AC : 0                   FD4A98C : 0                   
0FA0 - Pointer           E56D400 : P->5E1392C0         FDD50B0 : P->13614330         FD4A990 : P->00000000         
0FA8 - 4 Bytes           E56D408 : 244204384           FDD50B8 : 1                   FD4A998 : 0                   
0FAC - 4 Bytes (Hex)     E56D40C : 00000000            FDD50BC : 000D0000            FD4A99C : 00000000            
0FB0 - Pointer           E56D410 : P->00000001         FDD50C0 : P->0FDD50D0         FD4A9A0 : P->00000000         
0FB8 - 4 Bytes           E56D418 : 0                   FDD50C8 : 4                   FD4A9A8 : 0                   
0FBC - 4 Bytes           E56D41C : 0                   FDD50CC : 0                   FD4A9AC : 0                   
0FC0 - 4 Bytes           E56D420 : 4                   FDD50D0 : 324936776           FD4A9B0 : 0                   
0FC4 - 4 Bytes           E56D424 : 0                   FDD50D4 : 0                   FD4A9B4 : 0                   
0FC8 - 4 Bytes           E56D428 : 545259520           FDD50D8 : 1                   FD4A9B8 : 0                   
0FCC - 4 Bytes           E56D42C : 805306368           FDD50DC : 983040              FD4A9BC : 0                   
0FD0 - 4 Bytes           E56D430 : 331477776           FDD50E0 : 1194237728          FD4A9C0 : 4                   
0FD4 - 4 Bytes           E56D434 : 0                   FDD50E4 : 1                   FD4A9C4 : 0                   
0FD8 - 4 Bytes           E56D438 : 1                   FDD50E8 : 1                   FD4A9C8 : 411041792           
0FDC - 4 Bytes           E56D43C : 0                   FDD50EC : 1                   FD4A9CC : 805306368           
0FE0 - 4 Bytes           E56D440 : 1578341360          FDD50F0 : 0                   FD4A9D0 : 322123576           
0FE4 - 4 Bytes           E56D444 : 0                   FDD50F4 : 0                   FD4A9D4 : 0                   
0FE8 - 4 Bytes           E56D448 : 244204624           FDD50F8 : 0                   FD4A9D8 : 1                   
0FEC - 4 Bytes           E56D44C : 0                   FDD50FC : 0                   FD4A9DC : 0                   
0FF0 - Pointer           E56D450 : P->00000001         FDD5100 : P->13AC80B8         FD4A9E0 : P->00000000         
0FF8 - 4 Bytes           E56D458 : 240571616           FDD5108 : 1                   FD4A9E8 : 0                   
0FFC - 4 Bytes (Hex)     E56D45C : 00000000            FDD510C : 00120000            FD4A9EC : 00000000            
