Offset-Description       Player:                       Enemy 1:                      Enemy: 2
0220 - Pointer           E56C680 : P->00000000         FDD4330 : P->13B48EF8         FD49C10 : P->13B48EF8         
0228 - 4 Bytes           E56C688 : 0                   FDD4338 : 1                   FD49C18 : 1                   
022C - 4 Bytes (Hex)     E56C68C : 00000000            FDD433C : 00D50000            FD49C1C : 007D0000            
0230 - Pointer           E56C690 : P->13B396E0         FDD4340 : P->0FD1F6E0         FD49C20 : P->0DAC6B40         
0238 - Pointer           E56C698 : P->86000000000001   FDD4348 : P->10017140         FD49C28 : P->0FAE2B80         
0240 - Float             E56C6A0 : 60461.25            FDD4350 : -0.066842556        FD49C30 : 0.02625846863       
0244 - Float             E56C6A4 : 1.401298464E-45     FDD4354 : 0.2888622284        FD49C34 : 0.02575170994       
0248 - Pointer           E56C6A8 : P->200000001        FDD4358 : P->3D982E80         FD49C38 : P->BD278000         
0250 - 4 Bytes           E56C6B0 : 272492608           FDD4360 : 0                   FD49C40 : 0                   
0254 - 4 Bytes           E56C6B4 : 0                   FDD4364 : 0                   FD49C44 : 0                   
0258 - 4 Bytes           E56C6B8 : 272492704           FDD4368 : 0                   FD49C48 : 0                   
025C - 4 Bytes           E56C6BC : 0                   FDD436C : 0                   FD49C4C : 0                   
0260 - Pointer           E56C6C0 : P->13A76398         FDD4370 : P->102B9510         FD49C50 : P->0FFCFC10         
0268 - 4 Bytes           E56C6C8 : 1                   FDD4378 : 0                   FD49C58 : 0                   
026C - 4 Bytes           E56C6CC : 8978432             FDD437C : 0                   FD49C5C : 0                   
0270 - Pointer           E56C6D0 : P->0E56C6E0         FDD4380 : P->13B3A938         FD49C60 : P->13B3A938         
0278 - 4 Bytes           E56C6D8 : 0                   FDD4388 : 1                   FD49C68 : 1                   
027C - 4 Bytes (Hex)     E56C6DC : 00000000            FDD438C : 00DA0000            FD49C6C : 00820000            
0280 - Pointer           E56C6E0 : P->1375FCF0         FDD4390 : P->0FDD43A0         FD49C70 : P->0FD49C80         
0288 - 4 Bytes           E56C6E8 : 1                   FDD4398 : 2                   FD49C78 : 2                   
028C - 4 Bytes           E56C6EC : 9109504             FDD439C : 0                   FD49C7C : 0                   
0290 - Pointer           E56C6F0 : P->147713790        FDD43A0 : P->1364E138         FD49C80 : P->1364E138         
0298 - 4 Bytes           E56C6F8 : 1                   FDD43A8 : 1                   FD49C88 : 1                   
029C - 4 Bytes (Hex)     E56C6FC : 00000004            FDD43AC : 00DC0000            FD49C8C : 00840000            
02A0 - String            E56C700 :                     FDD43B0 : 0ItG                FD49C90 : 0ItG                
02A4 - 4 Bytes           E56C704 : 0                   FDD43B4 : 1                   FD49C94 : 1                   
02A8 - 4 Bytes           E56C708 : 0                   FDD43B8 : 1                   FD49C98 : 1                   
02AC - 4 Bytes           E56C70C : 0                   FDD43BC : 4                   FD49C9C : 4                   
02B0 - Pointer           E56C710 : P->00000000         FDD43C0 : P->0D527DA0         FD49CA0 : P->0E3A2C80         
02B8 - Pointer           E56C718 : P->00000000         FDD43C8 : P->0D527DF0         FD49CA8 : P->0E3A2C30         
02C0 - 4 Bytes           E56C720 : 329331936           FDD43D0 : 0                   FD49CB0 : 0                   
02C4 - 4 Bytes           E56C724 : 0                   FDD43D4 : 0                   FD49CB4 : 0                   
02C8 - 4 Bytes           E56C728 : 1                   FDD43D8 : 0                   FD49CB8 : 0                   
02CC - 4 Bytes           E56C72C : 9371648             FDD43DC : 0                   FD49CBC : 0                   
02D0 - Pointer           E56C730 : P->135E03E0         FDD43E0 : P->13B3A938         FD49CC0 : P->13B3A938         
02D8 - 4 Bytes           E56C738 : 1                   FDD43E8 : 1                   FD49CC8 : 1                   
02DC - 4 Bytes (Hex)     E56C73C : 00900000            FDD43EC : 00E00000            FD49CCC : 00880000            
02E0 - Pointer           E56C740 : P->0E56C750         FDD43F0 : P->0FDD4400         FD49CD0 : P->0FD49CE0         
02E8 - 4 Bytes           E56C748 : 0                   FDD43F8 : 2                   FD49CD8 : 2                   
02EC - 4 Bytes           E56C74C : 0                   FDD43FC : 0                   FD49CDC : 0                   
02F0 - Pointer           E56C750 : P->1343E068         FDD4400 : P->1364E138         FD49CE0 : P->1364E138         
02F8 - 4 Bytes           E56C758 : 1                   FDD4408 : 1                   FD49CE8 : 1                   
02FC - 4 Bytes (Hex)     E56C75C : 00920000            FDD440C : 00E20000            FD49CEC : 008A0000            
0300 - String            E56C760 : Ðk>G                FDD4410 : 0ItG                FD49CF0 : 0ItG                
0304 - 4 Bytes           E56C764 : 1                   FDD4414 : 1                   FD49CF4 : 1                   
0308 - 4 Bytes           E56C768 : 1                   FDD4418 : 1                   FD49CF8 : 1                   
030C - 4 Bytes           E56C76C : 4                   FDD441C : 4                   FD49CFC : 4                   
0310 - Pointer           E56C770 : P->00000000         FDD4420 : P->0D527DA0         FD49D00 : P->0E3A2C80         
0318 - Pointer           E56C778 : P->00000000         FDD4428 : P->0D527DF0         FD49D08 : P->0E3A2C30         
0320 - 4 Bytes           E56C780 : 0                   FDD4430 : 0                   FD49D10 : 0                   
0324 - 4 Bytes           E56C784 : 0                   FDD4434 : 0                   FD49D14 : 0                   
0328 - 4 Bytes           E56C788 : 0                   FDD4438 : 0                   FD49D18 : 0                   
032C - 4 Bytes           E56C78C : 0                   FDD443C : 0                   FD49D1C : 0                   
0330 - Pointer           E56C790 : P->133DEAB8         FDD4440 : P->13B3A938         FD49D20 : P->13B3A938         
0338 - 4 Bytes           E56C798 : 1                   FDD4448 : 1                   FD49D28 : 1                   
033C - 4 Bytes (Hex)     E56C79C : 00960000            FDD444C : 00E60000            FD49D2C : 008E0000            
0340 - Pointer           E56C7A0 : P->3ECCCCCD00000000 FDD4450 : P->0FDD4460         FD49D30 : P->0FD49D40         
0348 - 4 Bytes           E56C7A8 : 0                   FDD4458 : 0                   FD49D38 : 0                   
034C - 4 Bytes           E56C7AC : 0                   FDD445C : 0                   FD49D3C : 0                   
0350 - 4 Bytes           E56C7B0 : 1053609165          FDD4460 : 325378360           FD49D40 : 325378360           
0354 - 4 Bytes           E56C7B4 : 0                   FDD4464 : 0                   FD49D44 : 0                   
0358 - 4 Bytes           E56C7B8 : 0                   FDD4468 : 1                   FD49D48 : 1                   
035C - 4 Bytes           E56C7BC : 0                   FDD446C : 15204352            FD49D4C : 9437184             
0360 - 4 Bytes           E56C7C0 : 322906536           FDD4470 : 1198803248          FD49D50 : 1198803248          
0364 - 4 Bytes           E56C7C4 : 0                   FDD4474 : 1                   FD49D54 : 1                   
0368 - 4 Bytes (Hex)     E56C7C8 : 00000001            FDD4478 : 00000001            FD49D58 : 00000001            
036C - 4 Bytes (Hex)     E56C7CC : 00990000            FDD447C : 00000004            FD49D5C : 00000004            
0370 - Pointer           E56C7D0 : P->00000000         FDD4480 : P->00000000         FD49D60 : P->00000000         
0378 - 4 Bytes           E56C7D8 : 0                   FDD4488 : 0                   FD49D68 : 0                   
037C - 4 Bytes           E56C7DC : 0                   FDD448C : 0                   FD49D6C : 0                   
0380 - 4 Bytes           E56C7E0 : 0                   FDD4490 : 0                   FD49D70 : 0                   
0384 - 4 Bytes           E56C7E4 : 0                   FDD4494 : 0                   FD49D74 : 0                   
0388 - 4 Bytes           E56C7E8 : 0                   FDD4498 : 0                   FD49D78 : 0                   
038C - 4 Bytes           E56C7EC : 0                   FDD449C : 0                   FD49D7C : 0                   
0390 - 4 Bytes           E56C7F0 : 1065353216          FDD44A0 : 330410944           FD49D80 : 330410944           
0394 - 4 Bytes           E56C7F4 : 1065353216          FDD44A4 : 0                   FD49D84 : 0                   
0398 - 4 Bytes           E56C7F8 : 1065353216          FDD44A8 : 1                   FD49D88 : 1                   
039C - 4 Bytes           E56C7FC : 0                   FDD44AC : 15466496            FD49D8C : 9699328             
03A0 - 4 Bytes           E56C800 : 330384192           FDD44B0 : 266159296           FD49D90 : 265592224           
03A4 - 4 Bytes           E56C804 : 0                   FDD44B4 : 0                   FD49D94 : 0                   
03A8 - 4 Bytes           E56C808 : 1                   FDD44B8 : 2                   FD49D98 : 2                   
03AC - 4 Bytes           E56C80C : 10289152            FDD44BC : 0                   FD49D9C : 0                   
03B0 - 4 Bytes           E56C810 : 1                   FDD44C0 : 325582320           FD49DA0 : 325582320           
03B4 - 4 Bytes           E56C814 : 0                   FDD44C4 : 0                   FD49DA4 : 0                   
03B8 - 4 Bytes           E56C818 : 240568208           FDD44C8 : 1                   FD49DA8 : 1                   
03BC - 4 Bytes           E56C81C : 0                   FDD44CC : 15597568            FD49DAC : 9830400             
03C0 - 4 Bytes           E56C820 : 240568256           FDD44D0 : 1199243808          FD49DB0 : 1199243808          
03C4 - 4 Bytes           E56C824 : 0                   FDD44D4 : 1                   FD49DB4 : 1                   
03C8 - Pointer           E56C828 : P->00000000         FDD44D8 : P->400000001        FD49DB8 : P->400000001        
03D0 - 4 Bytes           E56C830 : 322824888           FDD44E0 : 222062528           FD49DC0 : 238733664           
03D4 - 4 Bytes (Hex)     E56C834 : 00000000            FDD44E4 : 00000000            FD49DC4 : 00000000            
03D8 - 4 Bytes           E56C838 : 4294967295          FDD44E8 : 222062688           FD49DC8 : 238733824           
03DC - 4 Bytes           E56C83C : 10485760            FDD44EC : 0                   FD49DCC : 0                   
03E0 - 4 Bytes           E56C840 : 0                   FDD44F0 : 0                   FD49DD0 : 0                   
03E4 - 4 Bytes           E56C844 : 0                   FDD44F4 : 0                   FD49DD4 : 0                   
03E8 - 4 Bytes (Hex)     E56C848 : 00000000            FDD44F8 : 00000000            FD49DD8 : 00000000            
03EC - 4 Bytes (Hex)     E56C84C : 00000000            FDD44FC : 00000000            FD49DDC : 00000000            
03F0 - Pointer           E56C850 : P->00000000         FDD4500 : P->135C5960         FD49DE0 : P->135C5960         
03F8 - 4 Bytes           E56C858 : 0                   FDD4508 : 1                   FD49DE8 : 1                   
03FC - 4 Bytes           E56C85C : 0                   FDD450C : 15859712            FD49DEC : 10092544            
0400 - 4 Bytes           E56C860 : 322906536           FDD4510 : 266159392           FD49DF0 : 265592320           
0404 - 4 Bytes           E56C864 : 0                   FDD4514 : 0                   FD49DF4 : 0                   
0408 - 4 Bytes           E56C868 : 4294967295          FDD4518 : 0                   FD49DF8 : 0                   
040C - 4 Bytes           E56C86C : 10682368            FDD451C : 0                   FD49DFC : 0                   
0410 - 4 Bytes           E56C870 : 0                   FDD4520 : 322506920           FD49E00 : 322506920           
0414 - Double            E56C874 : 0                   FDD4524 : 2.12199579096527E-31FD49E04 : 2.12199579096527E-314
041C - 4 Bytes           E56C87C : 0                   FDD452C : 15990784            FD49E0C : 10223616            
0420 - 4 Bytes           E56C880 : 0                   FDD4530 : 1198617728          FD49E10 : 1198617728          
0424 - 4 Bytes           E56C884 : 0                   FDD4534 : 1                   FD49E14 : 1                   
0428 - 4 Bytes (Hex)     E56C888 : 00000000            FDD4538 : 00000001            FD49E18 : 00000001            
042C - 4 Bytes (Hex)     E56C88C : 00000000            FDD453C : 00000004            FD49E1C : 00000004            
0430 - Pointer           E56C890 : P->3F8000003F800000 FDD4540 : P->00000000         FD49E20 : P->00000000         
0438 - 4 Bytes           E56C898 : 1065353216          FDD4548 : 0                   FD49E28 : 0                   
043C - 4 Bytes           E56C89C : 0                   FDD454C : 0                   FD49E2C : 0                   
0440 - Pointer           E56C8A0 : P->133DEAB8         FDD4550 : P->00000000         FD49E30 : P->00000000         
0448 - Pointer           E56C8A8 : P->A7000000000001   FDD4558 : P->00000000         FD49E38 : P->00000000         
0450 - 4 Bytes           E56C8B0 : 0                   FDD4560 : 329331936           FD49E40 : 329331936           
0454 - 4 Bytes           E56C8B4 : 0                   FDD4564 : 0                   FD49E44 : 0                   
0458 - 4 Bytes           E56C8B8 : 0                   FDD4568 : 1                   FD49E48 : 1                   
045C - 4 Bytes           E56C8BC : 0                   FDD456C : 16252928            FD49E4C : 10485760            
0460 - 4 Bytes           E56C8C0 : 0                   FDD4570 : 0                   FD49E50 : 331609584           
0464 - 4 Bytes           E56C8C4 : 0                   FDD4574 : 0                   FD49E54 : 0                   
0468 - 4 Bytes (Hex)     E56C8C8 : 00000000            FDD4578 : 00000000            FD49E58 : FFFFFFFF            
046C - 4 Bytes (Hex)     E56C8CC : 00000000            FDD457C : 00000000            FD49E5C : 00A10000            
0470 - Pointer           E56C8D0 : P->133F29A8         FDD4580 : P->00000000         FD49E60 : P->1477E5FB0        
0478 - 4 Bytes           E56C8D8 : 1                   FDD4588 : 0                   FD49E68 : 1                   
047C - 4 Bytes           E56C8DC : 11141120            FDD458C : 0                   FD49E6C : 6                   
0480 - Pointer           E56C8E0 : P->00000000         FDD4590 : P->00000000         FD49E70 : P->0FD49EA0         
0488 - Pointer           E56C8E8 : P->00000000         FDD4598 : P->00000000         FD49E78 : P->0FD49ED0         
0490 - 4 Bytes           E56C8F0 : 0                   FDD45A0 : 0                   FD49E80 : 265592576           
0494 - Double            E56C8F4 : 0                   FDD45A4 : 0                   FD49E84 : 2.07541683949582E-232
049C - 4 Bytes           E56C8FC : 0                   FDD45AC : 0                   FD49E8C : 0                   
04A0 - 4 Bytes           E56C900 : 1065353216          FDD45B0 : 0                   FD49E90 : 265592656           
04A4 - 4 Bytes           E56C904 : 1065353216          FDD45B4 : 0                   FD49E94 : 0                   
04A8 - 4 Bytes (Hex)     E56C908 : 3F800000            FDD45B8 : 00000000            FD49E98 : 0FD49F80            
04AC - 4 Bytes (Hex)     E56C90C : 00000000            FDD45BC : 00000000            FD49E9C : 00000000            
04B0 - Pointer           E56C910 : P->13B14340         FDD45C0 : P->00000004         FD49EA0 : P->13C54898         
04B8 - 4 Bytes           E56C918 : 1                   FDD45C8 : 545259520           FD49EA8 : 4294967295          
04BC - 4 Bytes           E56C91C : 11403264            FDD45CC : 805306368           FD49EAC : 10878976            
04C0 - 4 Bytes           E56C920 : 14                  FDD45D0 : 331477776           FD49EB0 : 7                   
04C4 - 4 Bytes           E56C924 : 0                   FDD45D4 : 0                   FD49EB4 : 6619220             
04C8 - 4 Bytes           E56C928 : 240568480           FDD45D8 : 1                   FD49EB8 : 7536750             
04CC - 4 Bytes           E56C92C : 0                   FDD45DC : 0                   FD49EBC : 7274601             
04D0 - 4 Bytes           E56C930 : 240568528           FDD45E0 : 1574987504          FD49EC0 : 110                 
04D4 - 4 Bytes           E56C934 : 0                   FDD45E4 : 0                   FD49EC4 : 0                   
04D8 - 4 Bytes (Hex)     E56C938 : 00000000            FDD45E8 : 0FE25440            FD49EC8 : 00000000            
04DC - 4 Bytes (Hex)     E56C93C : 00000000            FDD45EC : 00000000            FD49ECC : 00000000            
04E0 - 4 Bytes           E56C940 : 322824888           FDD45F0 : 1                   FD49ED0 : 331696280           
04E4 - 4 Bytes           E56C944 : 0                   FDD45F4 : 0                   FD49ED4 : 0                   
04E8 - 4 Bytes (Hex)     E56C948 : FFFFFFFF            FDD45F8 : 00000000            FD49ED8 : FFFFFFFF            
